Token,Closest Words,Similarities
[V_1],"am, h, bo","0.19, 0.19, 0.19"
[V_2],"co, land, ""","0.21, 0.19, 0.18"
[V_3],"alph, gibbs, ....#","0.19, 0.18, 0.17"
[V_4],"yukon, fowler, per","0.18, 0.18, 0.17"
[V_5],"l, br, henry","0.21, 0.18, 0.18"
[V_6],"ale, mosa, +)","0.22, 0.19, 0.18"
[V_7],"frey, allen, lily","0.18, 0.17, 0.17"
[V_8],"<|startoftext|>, offshore, protect","0.22, 0.20, 0.19"
[V_9],"ke, alley, irwin","0.23, 0.19, 0.18"
[V_10],"mimo, wesle, worlda","0.20, 0.18, 0.18"
[V_11],"such, is, has","0.22, 0.22, 0.22"
[V_12],"companion, companions, whouse","0.21, 0.18, 0.17"
[V_13],"meridi, cox, chester","0.24, 0.22, 0.20"
[V_14],"invic, kalamaz, minis","0.20, 0.19, 0.19"
[V_15],"not, of, the","0.18, 0.18, 0.18"
[V_16],"great, british, awesome","0.22, 0.20, 0.19"
