Token,Closest Words,Similarities
[V_1],"w, why, har","0.18, 0.18, 0.17"
[V_2],"crowned, labeling, friday","0.19, 0.18, 0.17"
[V_3],"raptors, aerial, stimulation","0.17, 0.17, 0.16"
[V_4],"pits, tweeter, walks","0.22, 0.19, 0.19"
[V_5],"sequoia, october, free","0.19, 0.17, 0.17"
[V_6],"ay, k, is","0.19, 0.18, 0.18"
[V_7],"naturally, pretty, figured","0.19, 0.19, 0.19"
[V_8],"womenin, chicago, declaring","0.21, 0.20, 0.20"
[V_9],"hiro, zl, ke","0.19, 0.18, 0.18"
[V_10],"recreating, ðŁĻıðŁı¾, âĺĺ","0.19, 0.19, 0.17"
[V_11],"last, ðŁıĨðŁıĨ, anyone","0.21, 0.21, 0.19"
[V_12],"iconic, displayed, photogenic","0.20, 0.20, 0.20"
[V_13],"distinctive, sung, exal","0.22, 0.19, 0.19"
[V_14],"gt, snake, kov","0.17, 0.17, 0.16"
[V_15],"convinced, encouraging, suggesting","0.24, 0.21, 0.21"
[V_16],"cbc, wbc, unidentified","0.19, 0.17, 0.17"
