Token,Closest Words,Similarities
[V_1],".., ..., like","0.23, 0.22, 0.22"
[V_2],"bloggerrt, %-, appt","0.24, 0.24, 0.23"
[V_3],"lea, latter, treatment","0.22, 0.18, 0.18"
[V_4],"realize, realized, line","0.19, 0.19, 0.18"
[V_5],"simply, hi, iii","0.19, 0.17, 0.16"
[V_6],"anchor, veli, pu","0.19, 0.18, 0.18"
[V_7],"ecofriendly, rhe, bois","0.20, 0.18, 0.18"
[V_8],"lady, dilu, norman","0.18, 0.17, 0.17"
[V_9],"beat, beats, transcend","0.18, 0.17, 0.17"
[V_10],"hill, hill, hurst","0.22, 0.21, 0.17"
[V_11],"âĢĵ, a, from","0.24, 0.24, 0.24"
[V_12],"hii, memorabilia, envoy","0.19, 0.18, 0.18"
[V_13],"pancre, epi, asen","0.20, 0.20, 0.19"
[V_14],"onyx, ong, âļłï¸ı","0.18, 0.17, 0.17"
[V_15],"we, w, vis","0.20, 0.19, 0.18"
[V_16],"tcot, answering, thread","0.18, 0.18, 0.18"
