Token,Closest Words,Similarities
[V_1],"<|startoftext|>, wants, says","0.35, 0.22, 0.21"
[V_2],"textured, ican, research","0.18, 0.17, 0.17"
[V_3],"ŀ, tani, shahe","0.18, 0.18, 0.17"
[V_4],"ninja, hypocrite, oldman","0.18, 0.17, 0.17"
[V_5],"id, ko, ita","0.20, 0.19, 0.18"
[V_6],"infused, illegal, doom","0.20, 0.18, 0.17"
[V_7],"yds, slices, traction","0.17, 0.17, 0.16"
[V_8],"dead, brium, elite","0.18, 0.18, 0.17"
[V_9],"yoko, oney, battled","0.15, 0.15, 0.15"
[V_10],"ittin, hits, skis","0.19, 0.19, 0.18"
[V_11],"all, "", last","0.19, 0.19, 0.19"
[V_12],"transc, act, envir","0.19, 0.18, 0.18"
[V_13],"tito, nee, ah","0.20, 0.19, 0.19"
[V_14],"rani, dreadful, ðŁĴĥ","0.19, 0.18, 0.17"
[V_15],"<|startoftext|>, </, gust","0.23, 0.21, 0.19"
[V_16],"fried, in, berger","0.20, 0.19, 0.17"
